0;0-1499;*
155;0-1499;*
213;0-1499;*
323;0-1499;*
419;0-1499;*
625;0-1499;*
653;0-1499;*
810;0-1499;*
880;0-1499;*
974;0-1499;*
1092;0-1499;*
1138;0-1499;*
1258;0-1499;*
1340;0-1499;*
1380;0-1499;*
1408;0-1499;*
1411;0-1499;*
1485;0-1499;*
1504;1500-1999;*
1539;1500-1999;*
1564;1500-1999;*
1573;1500-1999;*
1579;1500-1999;*
1590;1500-1999;*
1594;1500-1999;*
1602;1500-1999;*
1617;1500-1999;*
1628;1500-1999;*
1648;1500-1999;*
1651;1500-1999;*
1668;1500-1999;*
1669;1500-1999;*
1672;1500-1999;*
1719;1500-1999;*
1721;1500-1999;*
1726;1500-1999;*
1735;1500-1999;*
1740;1500-1999;*
1741;1500-1999;*
1755;1500-1999;*
1762;1500-1999;*
1816;1500-1999;*
1825;1500-1999;*
1844;1500-1999;*
1848;1500-1999;*
1876;1500-1999;*
1887;1500-1999;*
1902;1500-1999;*
1944;1500-1999;*
1974;1500-1999;*
1977;1500-1999;*
1980;1500-1999;*
2001;2000-2499;*
2002;2000-2499;*
2042;2000-2499;*
2051;2000-2499;*
2057;2000-2499;*
2080;2000-2499;*
2129;2000-2499;*
2149;2000-2499;*
2163;2000-2499;*
2174;2000-2499;*
2179;2000-2499;*
2201;2000-2499;*
2205;2000-2499;*
2206;2000-2499;*
2231;2000-2499;*
2238;2000-2499;*
2246;2000-2499;*
2258;2000-2499;*
2267;2000-2499;*
2282;2000-2499;*
2339;2000-2499;*
2352;2000-2499;*
2377;2000-2499;*
2392;2000-2499;*
2415;2000-2499;*
2444;2000-2499;*
2457;2000-2499;*
2467;2000-2499;*
2472;2000-2499;*
2489;2000-2499;*
2547;>= 2500;*
2559;>= 2500;*
2603;>= 2500;*
2754;>= 2500;*
2824;>= 2500;*
3004;>= 2500;*
3683;>= 2500;*
3770;>= 2500;*
3900;>= 2500;*
4356;>= 2500;*
?;?;*
