NIU;NA;*
Never attended/kindergarten only;Primary School;*
Grade 1;Primary School;*
Grade 2;Primary School;*
Grade 3;Primary School;*
Grade 4;Primary School;*
Grade 5;Primary School;*
Grade 6;Primary School;*
Grade 7;High School;*
Grade 8;High School;*
Grade 9;High School;*
Grade 10;High School;*
Grade 11;High School;*
12th grade, no diploma;High School;*
High school graduate;High School;*
GED or equivalent;High School;*
Some college, no degree;Undergraduate;*
AA degree: technical/vocational/occupational;Undergraduate;*
AA degree: academic program;Undergraduate;*
Bachelor's degree (BA, AB, BS, BBA);Undergraduate;*
Master's degree (MA, MS, Meng, Med, MBA);Graduate;*
Professional degree (MD, DDS, DVM, JD);Graduate;*
Doctoral degree (PhD, EdD);Graduate;*
Unknown--refused;NA;*
Unknown--not ascertained;NA;*
Unknown--don't know;NA;*
