White;White;*
Black/African-American;Black/African-American;*
Aleut, Alaskan Native, or American Indian;Aleut, Alaskan Native, Eskimo or American Indian;*
Alaskan Native or American Indian;Aleut, Alaskan Native, Eskimo or American Indian;*
Alaskan Native/Eskimo;Aleut, Alaskan Native, Eskimo or American Indian;*
Aleut;Aleut, Alaskan Native, Eskimo or American Indian;*
American Indian;Aleut, Alaskan Native, Eskimo or American Indian;*
Asian or Pacific Islander;Asian or Pacific Islander;*
Asian;Asian or Pacific Islander;*
Chinese;Asian or Pacific Islander;*
Filipino;Asian or Pacific Islander;*
Korean;Asian or Pacific Islander;*
Vietnamese;Asian or Pacific Islander;*
Japanese;Asian or Pacific Islander;*
Asian Indian;Asian or Pacific Islander;*
Pacific Islander;Asian or Pacific Islander;*
Hawaiian;Asian or Pacific Islander;*
Samoan;Asian or Pacific Islander;*
Guamanian;Asian or Pacific Islander;*
Other Asian or Pacific Islander;Asian or Pacific Islander;*
Other Asian or Pacific Islander (1992-1995);Asian or Pacific Islander;*
Other Asian or Pacific Islander (1996);Asian or Pacific Islander;*
Other Asian or Pacific Islander (1997-1998);Asian or Pacific Islander;*
Other Asian (1999-2005);Asian or Pacific Islander;*
Other Race;Other Race;*
Other Race (1969-1977);Other Race;*
Other Race (1978);Other Race;*
Other Race (1979-1991);Other Race;*
Other Race (1992-1995);Other Race;*
Other Race (1996);Other Race;*
Other Race (1997-1998);Other Race;*
Other Race (1999-2002);Other Race;*
Primary Race not releasable;NA;*
Multiple Race, No Primary Race Selected;NA;*
Unknown;NA;*
Unknown-refused;NA;*
Unknown-not ascertained;NA;*
Unknown (1997forward: Don't know);NA;*
