N/A;{N/A, Unemployed};{N/A, Unemployed};*
Unemployed;{N/A, Unemployed};{N/A, Unemployed};*
Employee;{Employee};{Employee};*
Employee (non-profit);{Employee};{Employee};*
Employee (federal gvt);{Government employee};{Employee};*
Employee (local gvt);{Government employee};{Employee};*
Employee (state gvt);{Government employee};{Employee};*
Family business (without pay);{Family business or self-employed};{Family business or self-employed};*
Self-employed (incorporated);{Family business or self-employed};{Family business or self-employed};*
Self-employed (not incorporated);{Family business or self-employed};{Family business or self-employed};*
