;;;;;;;Execution time;Execution time;Number of checks;Number of rollups;Number of snapshots;Size of lattice;Information loss;Information loss (Transformation)
Algorithm;Dataset;Criteria;Metric;Suppression;QI count;Termination Limit;Arithmetic Mean;Standard Deviation;Value;Value;Value;Value;Value;Value
Heurakles;SS13ACS_SEMANTIC;[k];Loss;0.0;20;30000;3.0003513816E10;NaN;133135.0;13982.0;129572.0;133137.0;0.5819458785913838;[5, 3, 2, 1, 1, 1, 2, 2, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 9, 2]
Heurakles;SS13ACS_SEMANTIC;[k];Loss;0.0;20;40000;4.0004223379E10;NaN;183180.0;19375.0;178320.0;183187.0;0.5501975936908565;[5, 3, 2, 1, 1, 1, 2, 2, 2, 1, 1, 0, 1, 1, 0, 1, 1, 1, 9, 2]
Heurakles;SS13ACS_SEMANTIC;[k];Loss;0.0;20;50000;5.0002880658E10;NaN;226191.0;23550.0;220203.0;226195.0;0.5501975936908565;[5, 3, 2, 1, 1, 1, 2, 2, 2, 1, 1, 0, 1, 1, 0, 1, 1, 1, 9, 2]
Heurakles;SS13ACS_SEMANTIC;[k];Loss;0.0;20;60000;6.0003212338E10;NaN;267790.0;27055.0;260644.0;267792.0;0.5501975936908565;[5, 3, 2, 1, 1, 1, 2, 2, 2, 1, 1, 0, 1, 1, 0, 1, 1, 1, 9, 2]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;0.0;20;30000;3.0002880637E10;NaN;94222.0;6310.0;90948.0;94227.0;891562.4755789154;[1, 3, 3, 2, 2, 2, 1, 2, 1, 1, 1, 0, 1, 1, 0, 2, 2, 2, 9, 2]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;0.0;20;40000;4.0016074416E10;NaN;127658.0;8587.0;123255.0;127658.0;872587.9428279746;[1, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 0, 2, 2, 0, 2, 2, 2, 9, 2]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;0.0;20;50000;5.0000698272E10;NaN;157601.0;10640.0;152184.0;157606.0;872587.9428279746;[1, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 0, 1, 1, 0, 2, 2, 2, 9, 2]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;0.0;20;60000;5.9999915428E10;NaN;193178.0;13043.0;186570.0;193178.0;872587.9428279746;[1, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 0, 1, 1, 0, 2, 2, 2, 9, 2]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic discernability;0.0;20;30000;2.9999713389E10;NaN;360876.0;13646.0;360775.0;360881.0;3.33411795E8;[3, 3, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9, 2]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic discernability;0.0;20;40000;3.9999948163E10;NaN;481765.0;18327.0;481664.0;481768.0;3.33411795E8;[3, 3, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9, 2]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic discernability;0.0;20;50000;5.0002056217E10;NaN;575291.0;22270.0;574870.0;575292.0;3.33411795E8;[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9, 2]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic discernability;0.0;20;60000;5.9999681841E10;NaN;651816.0;25737.0;650908.0;651818.0;3.33411795E8;[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9, 2]
Heurakles;SS13ACS_SEMANTIC;[k];Loss;1.0;20;300000;2.99999586878E11;NaN;305113.0;2193.0;299650.0;305116.0;0.16486093382477018;[4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2]
Heurakles;SS13ACS_SEMANTIC;[k];Loss;1.0;20;400000;4.00000165151E11;NaN;400203.0;3077.0;393295.0;400208.0;0.16486093382477018;[4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2]
Heurakles;SS13ACS_SEMANTIC;[k];Loss;1.0;20;500000;5.00000307262E11;NaN;476216.0;4111.0;468357.0;476222.0;0.16486093382477018;[4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2]
Heurakles;SS13ACS_SEMANTIC;[k];Loss;1.0;20;600000;6.00000280214E11;NaN;571980.0;5292.0;563048.0;571984.0;0.16486093382477018;[4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;1.0;20;300000;3.00002801239E11;NaN;910599.0;69168.0;879551.0;910600.0;521742.45378327556;[1, 3, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 8, 1]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;1.0;20;400000;3.99999846401E11;NaN;1192573.0;91450.0;1152331.0;1192573.0;521742.45378327556;[1, 3, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 8, 1]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;1.0;20;500000;5.00003997258E11;NaN;1472776.0;113509.0;1423728.0;1472779.0;521742.45378327556;[1, 3, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 8, 1]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;1.0;20;600000;6.00000678699E11;NaN;1760181.0;133801.0;1704853.0;1760181.0;521742.45378327556;[1, 3, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 8, 1]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic discernability;1.0;20;300000;2.9999950375E11;NaN;2480196.0;108637.0;2477268.0;2480197.0;1.86125461E8;[3, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9, 2]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic discernability;1.0;20;400000;3.99999653905E11;NaN;3230138.0;148067.0;3225806.0;3230141.0;1.86125461E8;[3, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9, 2]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic discernability;1.0;20;500000;4.99999899194E11;NaN;3948122.0;186114.0;3942862.0;3948124.0;1.86125461E8;[3, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9, 2]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic discernability;1.0;20;600000;5.99999568787E11;NaN;4681263.0;226942.0;4674794.0;4681266.0;1.86125461E8;[3, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9, 2]
