;;;;;;;Execution time;Execution time;Number of checks;Number of rollups;Number of snapshots;Size of lattice;Information loss;Information loss (Transformation)
Algorithm;Dataset;Criteria;Metric;Suppression;QI count;Termination Limit;Arithmetic Mean;Standard Deviation;Value;Value;Value;Value;Value;Value
Heurakles;SS13ACS_SEMANTIC;[k];Loss;0.0;15;60000;6.000228785E10;NaN;292773.0;24564.0;283623.0;292779.0;0.4158145300898941;[5, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0]
Heurakles;SS13ACS_SEMANTIC;[k];Loss;0.0;15;120000;1.19999293625E11;NaN;570430.0;46404.0;553188.0;570433.0;0.4158145300898941;[5, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0]
Heurakles;SS13ACS_SEMANTIC;[k];Loss;0.0;15;180000;1.80002182399E11;NaN;839279.0;69636.0;814447.0;839283.0;0.4158145300898941;[5, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0]
Heurakles;SS13ACS_SEMANTIC;[k];Loss;0.0;15;240000;2.39999294485E11;NaN;1146130.0;116583.0;1113867.0;1146131.0;0.4118388115966418;[5, 3, 3, 1, 1, 1, 0, 1, 0, 2, 0, 0, 1, 1, 0]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;0.0;15;60000;6.0000578351E10;NaN;319908.0;207978.0;312880.0;319911.0;468151.4220992984;[0, 3, 3, 1, 2, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;0.0;15;120000;1.2000115603E11;NaN;606277.0;394316.0;592126.0;606278.0;468151.4220992984;[0, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;0.0;15;180000;1.79999942658E11;NaN;813373.0;529300.0;791871.0;813373.0;468151.4220992984;[0, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;0.0;15;240000;2.3999974623E11;NaN;1033121.0;671402.0;1005367.0;1033121.0;468151.4220992984;[0, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic discernability;0.0;15;60000;5.9999621087E10;NaN;625652.0;92530.0;621660.0;625653.0;1.89687841E8;[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]
