ACS13;4;[Age, Weight, Workclass, Income];Citizenship;83.9258;83.9258
Atus;4;[Birthplace, Age, Region, Citizenship status];Race;77.9747;82.019
ACS13;4;[Weight, Marital status, Workclass, Income];Age;1.7737;4.8134
Adult;4;[age, salary-class, workclass, native-country];sex;67.5685;67.5685
Adult;4;[marital-status, salary-class, education, race];workclass;73.8877;73.8877
Atus;4;[Region, Race, Labor force status, Citizenship status];Birthplace;85.0484;92.2678
Adult;4;[marital-status, age, workclass, native-country];sex;67.5685;73.4567
Cup;4;[MINRAMNT, STATE, AGE, INCOME];NGIFTALL;9.7350;16.8881
Atus;4;[Age, Labor force status, Citizenship status, Sex];Birthplace;85.0484;91.4163
Atus;4;[Region, Marital status, Citizenship status, Sex];Birthplace;85.0484;91.5398
Adult;4;[sex, salary-class, education, workclass];marital-status;46.6315;59.0942
Adult;4;[sex, salary-class, race, native-country];marital-status;46.6315;58.2687
ACS13;4;[Citizenship, Weight, Marital status, Sex];Workclass;40.0276;50.2583
Atus;4;[Birthplace, Age, Region, Marital status];Citizenship status;85.0525;95.6505
Atus;4;[Birthplace, Age, Labor force status, Sex];Citizenship status;85.0525;95.5186
ACS13;4;[Citizenship, Education, Weight, Income];Marital status;44.6111;62.7006
Adult;4;[age, race, workclass, native-country];marital-status;46.6315;62.2571
ACS13;4;[Citizenship, Age, Marital status, Sex];Education;17.5817;36.0262
Ihis;4;[AGE, QUARTER, SEX, MARSTAT];PERNUM;38.6646;57.0197
ACS13;4;[Citizenship, Age, Marital status, Sex];Income;69.9265;85.797
Atus;4;[Birthplace, Age, Labor force status, Citizenship status];Marital status;38.4143;58.4842
Atus;4;[Age, Race, Labor force status, Sex];Marital status;38.4143;59.9513
Adult;4;[sex, age, race, workclass];marital-status;46.6315;67.2369
Atus;4;[Age, Region, Citizenship status, Sex];Marital status;38.4143;58.9994
Adult;4;[sex, age, workclass, native-country];marital-status;46.6315;67.1209
Atus;4;[Birthplace, Age, Labor force status, Citizenship status];Sex;48.1711;75.459
Atus;4;[Birthplace, Age, Race, Labor force status];Sex;48.1711;75.4468
ACS13;4;[Citizenship, Age, Weight, Marital status];Workclass;40.0276;65.6297
Atus;4;[Age, Region, Marital status, Labor force status];Sex;48.1711;76.5533
Atus;4;[Birthplace, Age, Region, Race];Sex;48.1711;75.2632
ACS13;4;[Education, Age, Workclass, Sex];Marital status;44.6111;75.1008
ACS13;4;[Age, Weight, Workclass, Income];Marital status;44.6111;74.6555
ACS13;4;[Education, Age, Income, Sex];Marital status;44.6111;75.0426
ACS13;4;[Citizenship, Education, Age, Income];Marital status;44.6111;74.7137
Fars;4;[ideathday, iinjury, ideathmon, isex];ihispanic;57.2159;89.117
Fars;4;[iinjury, ihispanic, isex, iage];irace;57.2159;92.9402
Ihis;4;[AGE, QUARTER, SEX, RACEA];MARSTAT;23.6195;61.2261
Fars;4;[ideathday, ideathmon, ihispanic, iage];irace;57.2159;92.9402
Fars;4;[ideathday, iinjury, ideathmon, irace];ihispanic;57.2159;93.9943
Fars;4;[ideathday, iinjury, ihispanic, isex];irace;57.2159;92.9402
Ihis;4;[AGE, QUARTER, YEAR, RACEA];MARSTAT;23.6195;75.8137
Ihis;4;[PERNUM, AGE, SEX, YEAR];MARSTAT;23.6195;77.5369
Ihis;4;[PERNUM, AGE, QUARTER, YEAR];MARSTAT;23.6195;76.5557
Ihis;4;[AGE, SEX, YEAR, RACEA];MARSTAT;23.6195;76.3322
Ihis;4;[PERNUM, AGE, YEAR, RACEA];MARSTAT;23.6195;76.8291
Cup;4;[ZIP, AGE, NGIFTALL, INCOME];STATE;16.7809;92.4497
Cup;4;[ZIP, NGIFTALL, GENDER, INCOME];STATE;16.7809;92.4497
Cup;4;[ZIP, AGE, NGIFTALL, GENDER];STATE;16.7809;92.4497
Cup;4;[MINRAMNT, ZIP, AGE, NGIFTALL];STATE;16.7809;92.4497
Cup;4;[ZIP, AGE, GENDER, INCOME];STATE;16.7809;92.4497
Adult;3;[age, education, workclass];native-country;91.1876;91.1876
Adult;3;[sex, age, native-country];salary-class;75.1078;75.1078
Adult;3;[marital-status, age, native-country];workclass;73.8877;73.8877
Atus;3;[Marital status, Race, Sex];Labor force status;84.1039;85.4725
Atus;3;[Birthplace, Sex, Citizenship status];Labor force status;84.1039;84.1039
ACS13;3;[Marital status, Sex, Income];Education;17.5817;23.044
Adult;3;[marital-status, salary-class, race];sex;67.5685;73.6755
Atus;3;[Birthplace, Race, Labor force status];Sex;48.1711;56.7411
Adult;3;[sex, education, native-country];marital-status;46.6315;56.0208
Atus;3;[Birthplace, Marital status, Labor force status];Sex;48.1711;57.0027
Ihis;3;[AGE, QUARTER, MARSTAT];PERNUM;38.6646;50.6887
Ihis;3;[AGE, YEAR, MARSTAT];PERNUM;38.6646;50.6885
Atus;3;[Birthplace, Region, Marital status];Citizenship status;85.0525;95.6323
Atus;3;[Birthplace, Age, Marital status];Citizenship status;85.0525;95.6082
ACS13;3;[Citizenship, Weight, Workclass];Marital status;44.6111;58.299
ACS13;3;[Age, Citizenship, Marital status];Income;69.9265;85.797
Adult;3;[age, education, race];marital-status;46.6315;62.2107
ACS13;3;[Education, Sex, Income];Workclass;40.0276;58.9771
ACS13;3;[Age, Weight, Sex];Education;17.5817;35.3539
ACS13;3;[Age, Weight, Workclass];Education;17.5817;35.8821
Fars;3;[ideathday, ihispanic, iage];iinjury;42.7841;64.029
Fars;3;[ideathday, ideathmon, ihispanic];iinjury;42.7841;64.029
Atus;3;[Age, Labor force status, Citizenship status];Marital status;38.4143;58.6198
Ihis;3;[PERNUM, SEX, RACEA];MARSTAT;23.6195;44.1153
Fars;3;[isex, ihispanic, iage];iinjury;42.7841;64.029
Atus;3;[Birthplace, Age, Labor force status];Sex;48.1711;75.4707
Atus;3;[Age, Region, Race];Sex;48.1711;75.2522
Atus;3;[Age, Region, Marital status];Sex;48.1711;76.0802
ACS13;3;[Age, Weight, Sex];Workclass;40.0276;65.554
ACS13;3;[Age, Education, Citizenship];Workclass;40.0276;65.6108
Fars;3;[iinjury, ideathday, ideathmon];irace;57.2159;88.7098
Fars;3;[iinjury, ideathday, ideathmon];ihispanic;57.2159;89.1923
Fars;3;[ideathday, ideathmon, isex];ihispanic;57.2159;89.1923
Fars;3;[iinjury, ideathmon, isex];ihispanic;57.2159;89.117
ACS13;3;[Age, Weight, Income];Marital status;44.6111;74.6482
Fars;3;[ideathday, isex, ihispanic];irace;57.2159;92.9402
Ihis;3;[AGE, QUARTER, SEX];MARSTAT;23.6195;60.3267
Fars;3;[iinjury, isex, irace];ihispanic;57.2159;93.9834
Ihis;3;[PERNUM, SEX, YEAR];MARSTAT;23.6195;59.4053
Fars;3;[iinjury, isex, ihispanic];irace;57.2159;92.9402
Ihis;3;[AGE, QUARTER, YEAR];MARSTAT;23.6195;75.6033
Ihis;3;[PERNUM, AGE, YEAR];MARSTAT;23.6195;76.6085
Ihis;3;[AGE, YEAR, RACEA];MARSTAT;23.6195;75.827
Ihis;3;[AGE, SEX, YEAR];MARSTAT;23.6195;76.0927
