;;;;;;Execution time;Execution time;Number of checks;Number of rollups;Number of snapshots;Size of lattice;Information loss;Information loss (Transformation)
Algorithm;Dataset;Criteria;Metric;Suppression;QI count;Arithmetic Mean;Standard Deviation;Value;Value;Value;Value;Value;Value
Flash;Ihis;[k];Loss;0.0;8;3.688696965E9;1.2496621238737894E7;219.0;81.0;178.0;12960.0;0.30259109865708345;[1, 0, 0, 3, 0, 2, 0, 1]
Flash;SS13PMA_TWO_LEVEL;[k];Loss;0.0;1;2370711.6666666665;69295.330047077;2.0;1.0;1.0;2.0;1.0;[1]
Flash;SS13PMA_TWO_LEVEL;[k];Loss;0.0;2;1.4180001666666666E7;711083.5405663201;3.0;1.0;1.0;4.0;1.0000000000000004;[1, 1]
Flash;Ihis;[k];Loss;1.0;8;2.8044577619666668E10;9.98201246128086E8;790.0;156.0;752.0;12960.0;0.05757878033850372;[2, 0, 0, 2, 2, 0, 0, 0]
Flash;SS13PMA_TWO_LEVEL;[k];Loss;1.0;1;2312861.0;16614.45783045598;2.0;1.0;1.0;2.0;0.0076682428999999;[0]
Flash;SS13PMA_TWO_LEVEL;[k];Loss;1.0;2;1.3246580666666666E7;663891.8040481696;4.0;1.0;1.0;4.0;0.4194102136450899;[1, 0]
Flash;Ihis;[k];Non-monotonic non-uniform entropy;0.0;8;3.6403143363333335E9;7455525.7955277935;219.0;81.0;178.0;12960.0;9503511.261799559;[0, 0, 2, 3, 0, 2, 0, 1]
Flash;SS13PMA_TWO_LEVEL;[k];Non-monotonic non-uniform entropy;0.0;1;2442250.3333333335;64105.026950570216;2.0;1.0;1.0;2.0;544547.0147985214;[1]
Flash;SS13PMA_TWO_LEVEL;[k];Non-monotonic non-uniform entropy;0.0;2;1.2765915E7;876140.4558105966;3.0;1.0;1.0;4.0;1088983.2627680607;[1, 1]
Flash;Ihis;[k];Non-monotonic non-uniform entropy;1.0;8;1.0941358733433333E11;3.038174364389446E9;12960.0;6477.0;12912.0;12960.0;5752032.059741599;[0, 0, 0, 0, 0, 1, 1, 1]
Flash;SS13PMA_TWO_LEVEL;[k];Non-monotonic non-uniform entropy;1.0;1;2574740.6666666665;380633.921421007;2.0;1.0;1.0;2.0;4085.2099978046;[0]
Flash;SS13PMA_TWO_LEVEL;[k];Non-monotonic non-uniform entropy;1.0;2;1.5273501666666666E7;683338.5139953209;4.0;1.0;1.0;4.0;548503.4200597107;[1, 0]
Flash;Ihis;[k];Non-monotonic discernability;0.0;8;3.62355382E9;3.61838616253824E7;219.0;81.0;178.0;12960.0;1.88718942E8;[0, 0, 2, 3, 0, 2, 0, 1]
Flash;SS13PMA_TWO_LEVEL;[k];Non-monotonic discernability;0.0;1;2370819.0;162255.85281585375;2.0;1.0;1.0;2.0;4.723125625E9;[1]
Flash;SS13PMA_TWO_LEVEL;[k];Non-monotonic discernability;0.0;2;1.3157611666666666E7;734705.3342873817;3.0;1.0;1.0;4.0;4.723125625E9;[1, 1]
Flash;Ihis;[k];Non-monotonic discernability;1.0;8;4.7080887474E10;6.624548709136797E8;2068.0;752.0;2020.0;12960.0;1.51003054E8;[0, 1, 0, 3, 0, 2, 0, 1]
Flash;SS13PMA_TWO_LEVEL;[k];Non-monotonic discernability;1.0;1;2235441.3333333335;49989.190044782015;2.0;1.0;1.0;2.0;6.2123137E7;[0]
Flash;SS13PMA_TWO_LEVEL;[k];Non-monotonic discernability;1.0;2;1.3435959666666666E7;371152.4095036072;4.0;1.0;1.0;4.0;6.0819651E7;[1, 0]
