;;;;;;;;;;;;;;;;;;;Information-loss value from ARX framework;Information-loss absolut value from utility framework;Information-loss relative value from utility framework;Minimum information loss for dataset;Maximum information loss for dataset;Difficulty;Number of distinct SA values;Skewness;Kurtosis;Deviation of frequencies;Span of frequencies;Standard deviation;Coefficient of variation;Quartile coefficient of dispersion;Normalized entropy;Product of Entropy and Standard dev of frequs
Privacy Model;Information-loss measure;Suppression Factor;Dataset;Criteria;Subset Based;k;l;c;t;dMin;dMax;Sens. Attr.;QIs;Number of QIs;Subset-Nr;PA(SE->SE);PA(QI->SE);Experiment-Type;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value
equ.-dist.-0.05-closeness;Loss;0.05;ACS13;[k, ET];false;5;;;0.05;;;Marital status;[Sex, Race, Age];3;;;;;0.5874010519681996;0.5874010519681994;0.5874010519682005;-2.6645352591003757E-15;1.0;0.9285714285714286;5.0;Infinity;Infinity;0.21127849345010927;0.43256456893415784;Infinity;Infinity;Infinity;0.7025437811863556;0.14843239167179645
equ.-dist.-0.17-closeness;Loss;0.05;ACS13;[k, ET];false;5;;;0.17;;;Marital status;[Sex, Race, Age];3;;;;;0.321150991494636;0.3211509915221542;0.32115099152215604;-2.6645352591003757E-15;1.0;0.8333333333333334;5.0;Infinity;Infinity;0.21127849345010927;0.43256456893415784;Infinity;Infinity;Infinity;0.7025437811863556;0.14843239167179645
equ.-dist.-0.25-closeness;Loss;0.05;ACS13;[k, ET];false;5;;;0.25;;;Marital status;[Sex, Race, Age];3;;;;;0.271797199395055;0.27179719942586167;0.2717971994258636;-2.6645352591003757E-15;1.0;0.7619047619047619;5.0;Infinity;Infinity;0.21127849345010927;0.43256456893415784;Infinity;Infinity;Infinity;0.7025437811863556;0.14843239167179645
equ.-dist.-0.05-closeness;Loss;0.05;ACS13;[k, ET];false;15;;;0.05;;;Marital status;[Sex, Race, Age];3;;;;;0.5874010519681996;0.5874010519681994;0.5874010519682005;-2.6645352591003757E-15;1.0;0.9285714285714286;5.0;Infinity;Infinity;0.21127849345010927;0.43256456893415784;Infinity;Infinity;Infinity;0.7025437811863556;0.14843239167179645
equ.-dist.-0.17-closeness;Loss;0.05;ACS13;[k, ET];false;15;;;0.17;;;Marital status;[Sex, Race, Age];3;;;;;0.321150991494636;0.3211509915221542;0.32115099152215604;-2.6645352591003757E-15;1.0;0.8333333333333334;5.0;Infinity;Infinity;0.21127849345010927;0.43256456893415784;Infinity;Infinity;Infinity;0.7025437811863556;0.14843239167179645
equ.-dist.-0.25-closeness;Loss;0.05;ACS13;[k, ET];false;15;;;0.25;;;Marital status;[Sex, Race, Age];3;;;;;0.2719796627974791;0.271979662816485;0.27197966281648694;-2.6645352591003757E-15;1.0;0.7619047619047619;5.0;Infinity;Infinity;0.21127849345010927;0.43256456893415784;Infinity;Infinity;Infinity;0.7025437811863556;0.14843239167179645
equ.-dist.-0.05-closeness;Loss;0.05;ACS13;[k, ET];false;25;;;0.05;;;Marital status;[Sex, Race, Age];3;;;;;0.5874010519681996;0.5874010519681994;0.5874010519682005;-2.6645352591003757E-15;1.0;0.9285714285714286;5.0;Infinity;Infinity;0.21127849345010927;0.43256456893415784;Infinity;Infinity;Infinity;0.7025437811863556;0.14843239167179645
equ.-dist.-0.17-closeness;Loss;0.05;ACS13;[k, ET];false;25;;;0.17;;;Marital status;[Sex, Race, Age];3;;;;;0.321150991494636;0.3211509915221542;0.32115099152215604;-2.6645352591003757E-15;1.0;0.8333333333333334;5.0;Infinity;Infinity;0.21127849345010927;0.43256456893415784;Infinity;Infinity;Infinity;0.7025437811863556;0.14843239167179645
equ.-dist.-0.25-closeness;Loss;0.05;ACS13;[k, ET];false;25;;;0.25;;;Marital status;[Sex, Race, Age];3;;;;;0.27227157700711424;0.27227157702395943;0.2722715770239614;-2.6645352591003757E-15;1.0;0.7619047619047619;5.0;Infinity;Infinity;0.21127849345010927;0.43256456893415784;Infinity;Infinity;Infinity;0.7025437811863556;0.14843239167179645
equ.-dist.-0.05-closeness;Loss;0.05;ACS13;[k, ET];false;5;;;0.05;;;Education;[Sex, Race, Age];3;;;;;0.5764035090049793;0.5764035090169484;0.5764035090169495;-2.6645352591003757E-15;1.0;0.9047619047619048;25.0;Infinity;Infinity;0.04770648369814196;0.16534012368133866;Infinity;Infinity;Infinity;0.8499653586102264;0.04054885852452415
equ.-dist.-0.17-closeness;Loss;0.05;ACS13;[k, ET];false;5;;;0.17;;;Education;[Sex, Race, Age];3;;;;;0.321150991494636;0.3211509915221542;0.32115099152215604;-2.6645352591003757E-15;1.0;0.8095238095238095;25.0;Infinity;Infinity;0.04770648369814196;0.16534012368133866;Infinity;Infinity;Infinity;0.8499653586102264;0.04054885852452415
equ.-dist.-0.25-closeness;Loss;0.05;ACS13;[k, ET];false;5;;;0.25;;;Education;[Sex, Race, Age];3;;;;;0.2982761316448026;0.29827613171490497;0.29827613171490686;-2.6645352591003757E-15;1.0;0.7142857142857143;25.0;Infinity;Infinity;0.04770648369814196;0.16534012368133866;Infinity;Infinity;Infinity;0.8499653586102264;0.04054885852452415
equ.-dist.-0.05-closeness;Loss;0.05;ACS13;[k, ET];false;15;;;0.05;;;Education;[Sex, Race, Age];3;;;;;0.5764035090049793;0.5764035090169484;0.5764035090169495;-2.6645352591003757E-15;1.0;0.9047619047619048;25.0;Infinity;Infinity;0.04770648369814196;0.16534012368133866;Infinity;Infinity;Infinity;0.8499653586102264;0.04054885852452415
equ.-dist.-0.17-closeness;Loss;0.05;ACS13;[k, ET];false;15;;;0.17;;;Education;[Sex, Race, Age];3;;;;;0.321150991494636;0.3211509915221542;0.32115099152215604;-2.6645352591003757E-15;1.0;0.8095238095238095;25.0;Infinity;Infinity;0.04770648369814196;0.16534012368133866;Infinity;Infinity;Infinity;0.8499653586102264;0.04054885852452415
