;;;Info Loss
Suppression Factor;Dataset;Criteria;Arithmetic Mean
0.0;Adult;[k];407289.5388925293
0.0;Adult;[l];324620.5269918692
0.0;Adult;[t];398400.0741806447
0.0;Adult;[d];42668.3860074087
0.0;Adult;[k, l];324620.5269918692
0.0;Adult;[k, t];398400.0741806447
0.0;Adult;[k, d];43053.85980251069
0.0;Adult;[d, l];35461.300017243804
0.0;Adult;[d, t];42481.619746031596
0.0;Adult;[k, d, l];35461.300017243804
0.0;Adult;[k, d, t];42481.619746031596
0.0;Cup;[k];2445878.424834677
0.0;Cup;[l];1849069.8831038165
0.0;Cup;[t];2023751.243421626
0.0;Cup;[d];243784.1435942113
0.0;Cup;[k, l];1961244.4822559545
0.0;Cup;[k, t];2023751.243421626
0.0;Cup;[k, d];243784.1435942113
0.0;Cup;[d, l];195319.3966138972
0.0;Cup;[d, t];195829.0291224279
0.0;Cup;[k, d, l];195829.0291224279
0.0;Cup;[k, d, t];195829.0291224279
0.0;Fars;[k];1684832.739722754
0.0;Fars;[l];1201007.0880104562
0.0;Fars;[t];1429434.050891089
0.0;Fars;[d];177273.88361084592
0.0;Fars;[k, l];1201007.0880104562
0.0;Fars;[k, t];1429434.050891089
0.0;Fars;[k, d];172023.81720410808
0.0;Fars;[d, l];142414.2491462392
0.0;Fars;[d, t];151844.6761858994
0.0;Fars;[k, d, l];142414.2491462392
0.0;Fars;[k, d, t];151844.6761858994
0.0;Atus;[k];5197401.734976224
0.0;Atus;[l];4449205.5963389445
0.0;Atus;[t];5760138.103541854
0.0;Atus;[d];551783.7658019267
0.0;Atus;[k, l];4449205.5963389445
0.0;Atus;[k, t];5760138.103541854
0.0;Atus;[k, d];551783.7658019267
0.0;Atus;[d, l];490137.6908435117
0.0;Atus;[d, t];574838.3678280927
0.0;Atus;[k, d, l];490137.6908435117
0.0;Atus;[k, d, t];574838.3678280927
0.0;Ihis;[k];1.438738051911123E7
0.0;Ihis;[l];1.110578692891293E7
0.0;Ihis;[t];1.4719292081181683E7
0.0;Ihis;[d];1776416.0928179924
0.0;Ihis;[k, l];1.110578692891293E7
0.0;Ihis;[k, t];1.4719292081181683E7
0.0;Ihis;[k, d];1776416.0928179924
0.0;Ihis;[d, l];1287579.5821546589
0.0;Ihis;[d, t];1589251.3824409053
0.0;Ihis;[k, d, l];1287579.5821546589
0.0;Ihis;[k, d, t];1589251.3824409053
0.0;ACS13;[k];301097.39886007423
0.0;ACS13;[l];919641.5652859579
0.0;ACS13;[t];176044.52828750238
0.0;ACS13;[d];32467.708176524702
0.0;ACS13;[k, l];919641.5652859579
0.0;ACS13;[k, t];675336.9772339629
0.0;ACS13;[k, d];32467.708176524702
0.0;ACS13;[d, l];-1.0
0.0;ACS13;[d, t];73390.847394915
0.0;ACS13;[k, d, l];-1.0
0.0;ACS13;[k, d, t];77167.64812276329
0.05;Adult;[k];249978.70787584342
0.05;Adult;[l];160937.4506311305
0.05;Adult;[t];382295.9731334287
0.05;Adult;[d];42668.3860074087
0.05;Adult;[k, l];170763.7641568316
0.05;Adult;[k, t];382295.9731334287
0.05;Adult;[k, d];33996.8591738962
0.05;Adult;[d, l];25247.843728345997
0.05;Adult;[d, t];40089.9423426752
0.05;Adult;[k, d, l];25247.843728345997
0.05;Adult;[k, d, t];40089.9423426752
0.05;Cup;[k];1685849.301839915
0.05;Cup;[l];1146539.755960012
0.05;Cup;[t];1377036.0221522974
0.05;Cup;[d];236640.22823762172
0.05;Cup;[k, l];1202354.6618344877
0.05;Cup;[k, t];1377036.0221522974
0.05;Cup;[k, d];188848.27339517899
0.05;Cup;[d, l];136834.1355989473
0.05;Cup;[d, t];188685.11376583832
0.05;Cup;[k, d, l];140991.2852327497
0.05;Cup;[k, d, t];166085.6968687116
0.05;Fars;[k];932978.5775012764
