;;;Info Loss
Suppression Factor;Dataset;Criteria;Arithmetic Mean
0.0;Adult;[k];0.5602172990839565
0.0;Adult;[l];0.542210825407941
0.0;Adult;[t];0.749497378559133
0.0;Adult;[d];0.6268024988316889
0.0;Adult;[k, l];0.542210825407941
0.0;Adult;[k, t];0.749497378559133
0.0;Adult;[k, d];0.6268024988316889
0.0;Adult;[d, l];0.6041403987002945
0.0;Adult;[d, t];0.8340080864093427
0.0;Adult;[k, d, l];0.6041403987002945
0.0;Adult;[k, d, t];0.8340080864093427
0.0;Cup;[k];0.7776985288904885
0.0;Cup;[l];0.6631604870499719
0.0;Cup;[t];0.8114473285278123
0.0;Cup;[d];0.8340080864093427
0.0;Cup;[k, l];0.7480258231683719
0.0;Cup;[k, t];0.8114473285278123
0.0;Cup;[k, d];0.6601337567158745
0.0;Cup;[d, l];0.6767679306318384
0.0;Cup;[d, t];0.8114473285278123
0.0;Cup;[k, d, l];0.709502799808198
0.0;Cup;[k, d, t];0.709502799808198
0.0;Fars;[k];0.6634710671629722
0.0;Fars;[l];0.640670712015275
0.0;Fars;[t];0.8217263638509449
0.0;Fars;[d];0.7127720645105469
0.0;Fars;[k, l];0.661191848359669
0.0;Fars;[k, t];0.8217263638509449
0.0;Fars;[k, d];0.6145716327578792
0.0;Fars;[d, l];0.7168507962458484
0.0;Fars;[d, t];0.8341044999743283
0.0;Fars;[k, d, l];0.7168507962458484
0.0;Fars;[k, d, t];0.8341044999743283
0.0;Atus;[k];0.38918631617033594
0.0;Atus;[l];0.45561039917016566
0.0;Atus;[t];0.6817928305074292
0.0;Atus;[d];0.4479652784586754
0.0;Atus;[k, l];0.45561039917016566
0.0;Atus;[k, t];0.6817928305074292
0.0;Atus;[k, d];0.4479652784586754
0.0;Atus;[d, l];0.5086856738311689
0.0;Atus;[d, t];0.6817928305074292
0.0;Atus;[k, d, l];0.5086856738311689
0.0;Atus;[k, d, t];0.6817928305074292
0.0;Ihis;[k];0.36615327363433736
0.0;Ihis;[l];0.31102151375348486
0.0;Ihis;[t];0.41421356237309515
0.0;Ihis;[d];0.37942520157727055
0.0;Ihis;[k, l];0.31102151375348486
0.0;Ihis;[k, t];0.41421356237309515
0.0;Ihis;[k, d];0.37942520157727055
0.0;Ihis;[d, l];0.31683595541068077
0.0;Ihis;[d, t];0.42048566558648304
0.0;Ihis;[k, d, l];0.31683595541068077
0.0;Ihis;[k, d, t];0.42048566558648304
0.0;ACS13;[k];0.3751294465633759
0.0;ACS13;[l];0.8881750225646274
0.0;ACS13;[t];0.38816738665865236
0.0;ACS13;[d];0.4262441214532178
0.0;ACS13;[k, l];0.8881750225646274
0.0;ACS13;[k, t];0.5502546642861637
0.0;ACS13;[k, d];0.4343040851466249
0.0;ACS13;[d, l];-1.0
0.0;ACS13;[d, t];0.5312399643395049
0.0;ACS13;[k, d, l];-1.0
0.0;ACS13;[k, d, t];0.661547764493023
0.05;Adult;[k];0.23419176901224215
0.05;Adult;[l];0.16873621678753303
0.05;Adult;[t];0.7021351111916356
0.05;Adult;[d];0.5641726346982812
0.05;Adult;[k, l];0.19976486301038054
0.05;Adult;[k, t];0.7021351111916356
0.05;Adult;[k, d];0.3995206483538245
0.05;Adult;[d, l];0.3479179515607458
0.05;Adult;[d, t];0.7583720338166533
0.05;Adult;[k, d, l];0.37369355960439155
0.05;Adult;[k, d, t];0.7419600405545965
0.05;Cup;[k];0.13968936091749518
0.05;Cup;[l];0.11725741305390658
0.05;Cup;[t];0.24269284259463153
0.05;Cup;[d];0.7671010295361715
0.05;Cup;[k, l];0.1287966152224742
0.05;Cup;[k, t];0.24269284259463153
0.05;Cup;[k, d];0.2660676117876477
0.05;Cup;[d, l];0.26756699793129646
0.05;Cup;[d, t];0.7363317045969289
0.05;Cup;[k, d, l];0.2735400136405297
0.05;Cup;[k, d, t];0.3680411188955679
0.05;Fars;[k];0.15398987668474184
0.05;Fars;[l];0.09987780486248954
0.05;Fars;[t];0.3427439198378588
0.05;Fars;[d];0.7127720645105469
0.05;Fars;[k, l];0.11467249026718407
0.05;Fars;[k, t];0.3427439198378588
0.05;Fars;[k, d];0.2767853101542126
0.05;Fars;[d, l];0.20733022651559385
0.05;Fars;[d, t];0.7284089877105506
0.05;Fars;[k, d, l];0.2107795131544572
