Measure;Dataset;SA;Model;Iteration;RuntimeMillis
Entropy;ACS13;MARSTAT;0_DL;1;2580
Entropy;ACS13;MARSTAT;0_DL;2;1804
Entropy;ACS13;MARSTAT;0_DL;3;2177
Entropy;ACS13;MARSTAT;0_DL;4;1751
Entropy;ACS13;MARSTAT;0_DL;5;1978
Entropy;ACS13;MARSTAT;0_DL;6;1684
Entropy;ACS13;MARSTAT;0_DL;7;2252
Entropy;ACS13;MARSTAT;0_DL;8;1747
Entropy;ACS13;MARSTAT;0_DL;9;2254
Entropy;ACS13;MARSTAT;0_DL;10;1791
Entropy;ACS13;MARSTAT;1_RL;1;458
Entropy;ACS13;MARSTAT;1_RL;2;479
Entropy;ACS13;MARSTAT;1_RL;3;434
Entropy;ACS13;MARSTAT;1_RL;4;444
Entropy;ACS13;MARSTAT;1_RL;5;750
Entropy;ACS13;MARSTAT;1_RL;6;428
Entropy;ACS13;MARSTAT;1_RL;7;406
Entropy;ACS13;MARSTAT;1_RL;8;410
Entropy;ACS13;MARSTAT;1_RL;9;415
Entropy;ACS13;MARSTAT;1_RL;10;477
Entropy;ACS13;MARSTAT;2_EL;1;671
Entropy;ACS13;MARSTAT;2_EL;2;413
Entropy;ACS13;MARSTAT;2_EL;3;360
Entropy;ACS13;MARSTAT;2_EL;4;760
Entropy;ACS13;MARSTAT;2_EL;5;518
Entropy;ACS13;MARSTAT;2_EL;6;395
Entropy;ACS13;MARSTAT;2_EL;7;376
Entropy;ACS13;MARSTAT;2_EL;8;431
Entropy;ACS13;MARSTAT;2_EL;9;370
Entropy;ACS13;MARSTAT;2_EL;10;643
Entropy;ACS13;MARSTAT;3_TC;1;828
Entropy;ACS13;MARSTAT;3_TC;2;1232
Entropy;ACS13;MARSTAT;3_TC;3;801
Entropy;ACS13;MARSTAT;3_TC;4;824
Entropy;ACS13;MARSTAT;3_TC;5;805
Entropy;ACS13;MARSTAT;3_TC;6;787
Entropy;ACS13;MARSTAT;3_TC;7;822
