Measure;DS;SA;Model;rtMean;rtMin;rtMax;rtSd;rtMed;Measure;Entropy;;;;;;;;;;;
Entropy;ACS13;EDUC;0_DL;2931,4;2724;3280;204,3685125;2844,5;;;;;;;;;;;;;
Loss;ACS13;EDUC;0_DL;2882,1;2729;2950;66,8405233;2901,5;;Spaltenbeschriftungen;;;;;;;;;;;
Soria-Comas;ACS13;EDUC;0_DL;2925,5;2829;2994;53,82327047;2924,5;;EDUC;;;;;;MARSTAT;;;;;
Entropy;ACS13;EDUC;1_RL;2524,7;2359;2987;217,2893872;2430;;ACS13;;Atus;;Ihis;;ACS13;;Atus;;Ihis;
Loss;ACS13;EDUC;1_RL;2831;2734;3028;80,98971128;2819,5;Zeilenbeschriftungen;Mean;SD;Mean;SD;Mean;SD;Mean;SD;Mean;SD;Mean;SD
Soria-Comas;ACS13;EDUC;1_RL;2633,9;2558;2802;71,13594185;2610,5;0_DL;2931,4;204,3685125;19030,7;1207,396193;89383,6;38680,97966;2001,8;298,9172312;18718,1;1519,417026;72313,2;19101,34972
Entropy;ACS13;EDUC;2_EL;2759,6;2383;3946;497,4696417;2560,5;1_RL;2524,7;217,2893872;9481,4;766,0477502;48634,8;28780,54365;470,1;101,7245191;7099,7;1236,812215;36565,6;9833,663048
Loss;ACS13;EDUC;2_EL;2807,5;2770;2833;21,08843812;2810;2_EL;2759,6;497,4696417;10049,2;1314,452467;50176,3;16118,78657;493,7;146,2296899;7001,7;1107,503504;39702,5;1833,365166
Soria-Comas;ACS13;EDUC;2_EL;2620;2562;2667;34,4738226;2619;3_TC;890,2;175,7111266;6906,6;1254,91117;30279,4;4035,898033;891,8;175,0909605;6645,5;1105,94065;40483,9;1109,980525
Entropy;ACS13;EDUC;3_TC;890,2;786;1227;175,7111266;806,5;4_DP;688,8;158,8911577;5172,6;1264,584446;18988,9;5605,509957;501,6;97,84591061;4945,4;1519,094335;17752,8;1358,740904
Loss;ACS13;EDUC;3_TC;911;874;953;26,78722747;917,5;;;;;;;;;;;;;
Soria-Comas;ACS13;EDUC;3_TC;895,3;807;953;38,19554948;899,5;;;;;;;;;;;;;
Entropy;ACS13;EDUC;4_DP;688,8;589;1135;158,8911577;648,5;;;;;;;;;;;;;
Loss;ACS13;EDUC;4_DP;725,1;630;1092;130,7817945;688,5;;;;;;;;;;;;;
Soria-Comas;ACS13;EDUC;4_DP;710,4;611;1024;114,3612211;686;;;;;;;;;;;;;
Entropy;ACS13;MARSTAT;0_DL;2001,8;1684;2580;298,9172312;1891;;;;;;;;;;;;;
Loss;ACS13;MARSTAT;0_DL;1895,1;1765;1971;54,98979703;1908,5;;;;;;;;;;;;;
Soria-Comas;ACS13;MARSTAT;0_DL;1904;1791;2343;157,3877025;1872;;;;;;;;;;;;;
Entropy;ACS13;MARSTAT;1_RL;470,1;406;750;101,7245191;439;;;;;;;;;;;;;
Loss;ACS13;MARSTAT;1_RL;444,3;427;454;7,394442357;445,5;;;;;;;;;;;;;
Soria-Comas;ACS13;MARSTAT;1_RL;467,5;419;565;51,65537511;447;;;;;;;;;;;;;
Entropy;ACS13;MARSTAT;2_EL;493,7;360;760;146,2296899;422;;;;;;;;;;;;;
Loss;ACS13;MARSTAT;2_EL;368,1;342;395;23,43999431;364;;;;;;;;;;;;;
Soria-Comas;ACS13;MARSTAT;2_EL;406,8;382;486;28,67364256;400,5;;;;;;;;;;;;;
