Dataset;SA;Model;Iteration;RuntimeMillis
ihis;MARSTAT;0_DL;1;2054
ihis;MARSTAT;0_DL;2;1195
ihis;MARSTAT;0_DL;3;1191
ihis;MARSTAT;0_DL;4;1937
ihis;MARSTAT;0_DL;5;1278
ihis;MARSTAT;1_RL;1;2419
ihis;MARSTAT;1_RL;2;2396
ihis;MARSTAT;1_RL;3;2945
ihis;MARSTAT;1_RL;4;2235
ihis;MARSTAT;1_RL;5;2292
ihis;MARSTAT;2_EL;1;2289
ihis;MARSTAT;2_EL;2;2337
ihis;MARSTAT;2_EL;3;2336
ihis;MARSTAT;2_EL;4;2380
ihis;MARSTAT;2_EL;5;2277
ihis;MARSTAT;3_TC;1;2992
ihis;MARSTAT;3_TC;2;2996
ihis;MARSTAT;3_TC;3;2976
ihis;MARSTAT;3_TC;4;2981
ihis;MARSTAT;3_TC;5;2979
ihis;MARSTAT;4_DP;1;3075
ihis;MARSTAT;4_DP;2;3068
ihis;MARSTAT;4_DP;3;3059
ihis;MARSTAT;4_DP;4;3081
ihis;MARSTAT;4_DP;5;3081
ihis;EDUC;0_DL;1;1492
ihis;EDUC;0_DL;2;1366
ihis;EDUC;0_DL;3;1361
ihis;EDUC;0_DL;4;1516
ihis;EDUC;0_DL;5;1484
ihis;EDUC;1_RL;1;1579
ihis;EDUC;1_RL;2;1564
ihis;EDUC;1_RL;3;1558
ihis;EDUC;1_RL;4;1556
ihis;EDUC;1_RL;5;1554
ihis;EDUC;2_EL;1;1614
ihis;EDUC;2_EL;2;1612
ihis;EDUC;2_EL;3;1603
ihis;EDUC;2_EL;4;1612
ihis;EDUC;2_EL;5;1599
ihis;EDUC;3_TC;1;4023
ihis;EDUC;3_TC;2;4068
ihis;EDUC;3_TC;3;3988
ihis;EDUC;3_TC;4;4026
ihis;EDUC;3_TC;5;4028
ihis;EDUC;4_DP;1;4290
ihis;EDUC;4_DP;2;4354
ihis;EDUC;4_DP;3;4235
ihis;EDUC;4_DP;4;4328
ihis;EDUC;4_DP;5;4260
ss13acs;MARSTAT;0_DL;1;118
ss13acs;MARSTAT;0_DL;2;106
ss13acs;MARSTAT;0_DL;3;115
ss13acs;MARSTAT;0_DL;4;102
ss13acs;MARSTAT;0_DL;5;102
ss13acs;MARSTAT;1_RL;1;348
ss13acs;MARSTAT;1_RL;2;340
ss13acs;MARSTAT;1_RL;3;344
ss13acs;MARSTAT;1_RL;4;352
ss13acs;MARSTAT;1_RL;5;342
ss13acs;MARSTAT;2_EL;1;350
ss13acs;MARSTAT;2_EL;2;343
ss13acs;MARSTAT;2_EL;3;352
ss13acs;MARSTAT;2_EL;4;339
ss13acs;MARSTAT;2_EL;5;342
ss13acs;MARSTAT;3_TC;1;339
ss13acs;MARSTAT;3_TC;2;345
ss13acs;MARSTAT;3_TC;3;339
ss13acs;MARSTAT;3_TC;4;338
ss13acs;MARSTAT;3_TC;5;342
ss13acs;MARSTAT;4_DP;1;357
ss13acs;MARSTAT;4_DP;2;346
ss13acs;MARSTAT;4_DP;3;339
ss13acs;MARSTAT;4_DP;4;346
ss13acs;MARSTAT;4_DP;5;343
ss13acs;EDUC;0_DL;1;102
ss13acs;EDUC;0_DL;2;108
ss13acs;EDUC;0_DL;3;101
ss13acs;EDUC;0_DL;4;102
ss13acs;EDUC;0_DL;5;101
ss13acs;EDUC;1_RL;1;149
ss13acs;EDUC;1_RL;2;157
ss13acs;EDUC;1_RL;3;149
ss13acs;EDUC;1_RL;4;148
ss13acs;EDUC;1_RL;5;150
ss13acs;EDUC;2_EL;1;163
ss13acs;EDUC;2_EL;2;156
ss13acs;EDUC;2_EL;3;156
ss13acs;EDUC;2_EL;4;155
ss13acs;EDUC;2_EL;5;155
ss13acs;EDUC;3_TC;1;449
ss13acs;EDUC;3_TC;2;453
ss13acs;EDUC;3_TC;3;454
ss13acs;EDUC;3_TC;4;450
ss13acs;EDUC;3_TC;5;463
ss13acs;EDUC;4_DP;1;468
ss13acs;EDUC;4_DP;2;459
ss13acs;EDUC;4_DP;3;468
ss13acs;EDUC;4_DP;4;460
ss13acs;EDUC;4_DP;5;472
atus;MARSTAT;0_DL;1;347
atus;MARSTAT;0_DL;2;337
atus;MARSTAT;0_DL;3;332
atus;MARSTAT;0_DL;4;336
atus;MARSTAT;0_DL;5;334
atus;MARSTAT;1_RL;1;894
atus;MARSTAT;1_RL;2;945
atus;MARSTAT;1_RL;3;940
atus;MARSTAT;1_RL;4;903
atus;MARSTAT;1_RL;5;904
atus;MARSTAT;2_EL;1;996
atus;MARSTAT;2_EL;2;941
atus;MARSTAT;2_EL;3;968
atus;MARSTAT;2_EL;4;988
atus;MARSTAT;2_EL;5;987
atus;MARSTAT;3_TC;1;1486
atus;MARSTAT;3_TC;2;1460
atus;MARSTAT;3_TC;3;1475
atus;MARSTAT;3_TC;4;1474
atus;MARSTAT;3_TC;5;1485
atus;MARSTAT;4_DP;1;1505
atus;MARSTAT;4_DP;2;1472
atus;MARSTAT;4_DP;3;1492
atus;MARSTAT;4_DP;4;1464
atus;MARSTAT;4_DP;5;1484
atus;EDUC;0_DL;1;347
atus;EDUC;0_DL;2;300
atus;EDUC;0_DL;3;302
atus;EDUC;0_DL;4;301
atus;EDUC;0_DL;5;299
atus;EDUC;1_RL;1;432
atus;EDUC;1_RL;2;478
atus;EDUC;1_RL;3;430
atus;EDUC;1_RL;4;431
atus;EDUC;1_RL;5;430
atus;EDUC;2_EL;1;432
atus;EDUC;2_EL;2;484
atus;EDUC;2_EL;3;439
atus;EDUC;2_EL;4;436
atus;EDUC;2_EL;5;435
atus;EDUC;3_TC;1;1751
atus;EDUC;3_TC;2;1750
atus;EDUC;3_TC;3;1720
atus;EDUC;3_TC;4;1733
atus;EDUC;3_TC;5;1707
atus;EDUC;4_DP;1;1741
atus;EDUC;4_DP;2;1726
atus;EDUC;4_DP;3;1745
atus;EDUC;4_DP;4;1740
atus;EDUC;4_DP;5;1732
